   1468 [2009,"Alkekonge2009"]
   1109 [2009,"MERCLIM-2009"]
    961 [2010,"Alkekonge2010"]
   3595 [2010,"ICE2010"]
   1537 [2011,"MOSJ2011"]
   2665 [2012,"ICE2012"]
   1638 [2012,"MOSJ2012"]
     40 [2012,"PolarNight2012"]
   2268 [2013,"MOSJ2013"]
    921 [2014,"ICE2014"]
   1388 [2014,"MOSJ2014"]
    348 [2015,"MOSJ2015"]
  12703 [2015,"N-ICE2015"]
   1573 [2016,"ARCEx2016"]
   4285 [2016,"MOSJ2016"]
    404 [2017,"GlacierFront2017"]
36903
