"scientificName"	"taxonRank"	"synonym"	"taxonomicStatus"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"taxonID"	"scientificNameAuthorship"	"references"	"taxonRemarks"	"type"	"modified"	"unknown"	"url"	"similarity"
"Chrysophyceae"	"class"	false	"accepted"	"Chromista"	"Ochrophyta"	"Chrysophyceae"				"https://api.gbif.org/v1/species/7073563"				"Taxon"	"2018-02-01T18:08:39.127+0000"	"Chrysophyceae cyst 1"	"https://gbif.org/species/7073563"	0.8275862068965517
"Conticribra"	"genus"	false	"accepted"	"Chromista"	"Ochrophyta"	"Bacillariophyceae"	"Thalassiosirales"	"Thalassiosiraceae"	"Conticribra"	"https://api.gbif.org/v1/species/8131159"	"K.Stachura-Suchoples & D.M.Williams, 2009"			"Taxon"	"2018-02-01T18:08:36.983+0000"	"Conticriba"	"https://gbif.org/species/8131159"	0.8421052631578947
