"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"occurrenceRemarks"	"previousIdentifications"	"lifeStage"	"magnification"
5	"iopan.pl"	"cells/l"	"Euplotes"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"	"species"	"Occurrence"	61.8480769230769	1	0.01616865147228009	"l"	"present"	"verified"	104	321.61	50	1000	1	3.09240384615385	"Niskin bottle"	"phytoplankton"	5				
5	"iopan.pl"	"cells/l"	"Teleaulax"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"	"species"	"Occurrence"	2176.52839506173	2	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	108.826419753086	"Niskin bottle"	"phytoplankton"	5				
5	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	"sp. 5-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"	"species"	"Occurrence"	13059.1703703704	12	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	652.958518518519	"Niskin bottle"	"phytoplankton"	5		"Gymnodinium sp. 5-10um"		
5	"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"	"species"	"Occurrence"	23941.812345679	22	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	1197.09061728395	"Niskin bottle"	"phytoplankton"	5				
5	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"7-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"		"Occurrence"	5441.32098765432	5	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	272.066049382716	"Niskin bottle"	"phytoplankton"	5		"Biflagellatae"		
5	"iopan.pl"	"cells/l"	"Dinobryon"	"spp."	"cyst"	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"	"species"	"Occurrence"	29383.1333333333	27	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	1469.15666666667	"Niskin bottle"	"phytoplankton"	5		"Dinobryon spp. cyst"	"cyst"	
5	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"3-7um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"		"Occurrence"	7617.84938271605	7	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	380.892469135802	"Niskin bottle"	"phytoplankton"	5		"Biflagellatae"		
5	"iopan.pl"	"cells/l"	"Gymnodinium wulffii"			2012	"MOSJ2012"	"KB3"	"MOSJ12-72"		"Occurrence"	5441.32098765432	5	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	272.066049382716	"Niskin bottle"	"phytoplankton"	5				
5	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"7-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-72"		"Occurrence"	3264.79259259259	3	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	163.23962962963	"Niskin bottle"	"phytoplankton"	5		"Monoflagellatae"		
5	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"			2012	"MOSJ2012"	"KB3"	"MOSJ12-72"		"Occurrence"	3264.79259259259	3	0.0009188945131787622	"l"	"present"	"verified"	81	4407.47	50	1000	1	163.23962962963	"Niskin bottle"	"phytoplankton"	5				
10	"iopan.pl"	"cells/l"	"Strombidium sulcatum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	265.245360824742	4	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	13.2622680412371	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Ciliophora"	"indet."		2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10		"Ciliophora non det"		
10	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	198.934020618557	3	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	9.94670103092784	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Laboea strobila"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	198.934020618557	3	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	9.94670103092784	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Mesodinium rubrum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10				
