"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"occurrenceRemarks"	"verbatimTaxon"	"organismRemarks"
25	60	"AT"	25	"cells/l"	"Coccolithales"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	875532.1053	50	0.000057108128530559754	"l"	"present"	"verified"	19	16635.11	50	1000	1	43776.60526	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Coccolithus pelagicus"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	7476.453933	2	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	373.8226966	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Cryptomonas"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	41120.49663	11	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	2056.024831	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Cylindrotheca closterium"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	22429.3618	6	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1121.46809	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Emiliania huxleyi"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	7476.453933	2	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	373.8226966	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Eucampia groenlandica"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	978535.8824	50	0.00005109674657997452	"l"	"present"	"verified"	17	16635.11	50	1000	1	48926.79412	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
25	60	"AT"	25	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	26167.58876	7	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1308.379438	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
25	60	"AT"	25	"cells/l"	"Fragilariopsis oceanica"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Fragilariopsis"	"sp. cf. F. pseudonana"	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	37382.26966	10	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1869.113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Gymnodinium galeatum"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	11214.6809	3	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	560.7340449	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Gymnodinium simplex"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	7476.453933	2	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	373.8226966	"Niskin bottle"	"phytoplankton"					
